State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,N,P,K,PH,TEM,,,,
Gujarat,BANAS KANTHA,1999,Kharif     ,Arhar/Tur,4100,3300,81.40724,62.39642,15.57736,5.389136,31.00994,,,,
Gujarat,BANAS KANTHA,2000,Kharif     ,Arhar/Tur,4400,1400,90.96637,60.8031,17.11199,4.770755,30.92801,,,,
Gujarat,BANAS KANTHA,2001,Kharif     ,Arhar/Tur,3500,2200,93.06509,54.19772,15.15063,5.732757,18.58686,,,,
Gujarat,BANAS KANTHA,2002,Kharif     ,Arhar/Tur,3600,2300,103.5123,70.17643,14.56963,5.961027,23.629,,,,
Gujarat,BANAS KANTHA,2003,Kharif     ,Arhar/Tur,1100,1000,86.4308,66.77865,9.257803,6.029396,20.57012,,,,
Gujarat,BANAS KANTHA,2004,Kharif     ,Arhar/Tur,1600,1500,89.69681,54.50672,16.43471,6.050431,22.47306,,,,
Gujarat,BANAS KANTHA,2005,Kharif     ,Arhar/Tur,3600,3600,86.13013,47.29018,18.11478,5.9772,24.50614,,,,
Gujarat,BANAS KANTHA,2006,Kharif     ,Arhar/Tur,3300,2700,93.33795,59.32281,15.85136,5.7297,29.7723,,,,
Gujarat,BANAS KANTHA,2007,Kharif     ,Arhar/Tur,2800,2900,81.10424,65.15128,17.58405,6.550207,32.67816,,,,
Gujarat,BANAS KANTHA,2008,Kharif     ,Arhar/Tur,2700,2900,97.16773,76.45111,10.4901,5.827104,24.83479,,,,
Gujarat,BANAS KANTHA,2009,Kharif     ,Arhar/Tur,2300,2500,100.1065,77.51196,17.75334,3.358055,17.90434,,,,
Gujarat,BANAS KANTHA,2010,Kharif     ,Arhar/Tur,2600,3200,81.6516,46.04497,13.6287,5.88755,27.79627,,,,
Gujarat,BANAS KANTHA,2011,Kharif     ,Arhar/Tur,3200,2500,105.0534,55.14196,13.21667,4.429801,25.47237,,,,
Gujarat,BANAS KANTHA,2012,Kharif     ,Arhar/Tur,1500,1300,101.9926,57.66233,14.25833,4.033213,27.03139,,,,
Gujarat,BHARUCH,1997,Kharif     ,Arhar/Tur,124500,64700,89.14818,60.64778,16.64483,6.025724,27.249,,,,
Gujarat,BHARUCH,1998,Kharif     ,Arhar/Tur,92800,58600,88.79461,74.40422,10.69802,5.672041,15.46092,,,,
Gujarat,BHARUCH,1999,Kharif     ,Arhar/Tur,100300,66400,64.11544,66.21405,14.61145,5.26582,32.056,,,,
Gujarat,BHARUCH,2000,Kharif     ,Arhar/Tur,93000,27400,89.45947,61.49046,14.25682,6.074358,22.70904,,,,
Gujarat,BHARUCH,2001,Kharif     ,Arhar/Tur,66100,40400,77.07445,67.68724,17.044,4.528404,26.43557,,,,
Gujarat,BHARUCH,2002,Kharif     ,Arhar/Tur,62200,39300,72.8379,79.80334,13.38324,6.545774,29.236,,,,
Gujarat,BHARUCH,2003,Kharif     ,Arhar/Tur,38600,19500,86.17035,68.48391,7.54672,4.930303,25.44082,,,,
Gujarat,BHARUCH,2004,Kharif     ,Arhar/Tur,38000,21400,80.29631,60.5109,13.08806,4.228887,29.07577,,,,
Gujarat,BHARUCH,2005,Kharif     ,Arhar/Tur,42900,26500,78.94169,51.12714,11.94064,6.32896,23.6214,,,,
Gujarat,BHARUCH,2006,Kharif     ,Arhar/Tur,41100,25900,78.54808,68.79809,18.89772,3.75008,20.33815,,,,
Gujarat,BHARUCH,2007,Kharif     ,Arhar/Tur,40400,33000,78.36877,73.92865,14.5146,4.614804,33.15418,,,,
Gujarat,BHARUCH,2008,Kharif     ,Arhar/Tur,56000,41000,104.2507,57.52093,18.15397,4.855248,23.06536,,,,
Gujarat,BHARUCH,2009,Kharif     ,Arhar/Tur,64700,41900,104.1702,75.08953,14.72511,4.881362,27.44843,,,,
Gujarat,BHARUCH,2010,Kharif     ,Arhar/Tur,66400,61500,81.57918,62.46597,8.107567,4.782367,33.542,,,,
Gujarat,BHARUCH,2011,Kharif     ,Arhar/Tur,46600,40900,94.65028,44.89706,11.29284,5.537613,29.24248,,,,
Gujarat,BHARUCH,2012,Kharif     ,Arhar/Tur,53500,48500,97.23748,54.32354,10.02024,5.408678,29.86513,,,,
Gujarat,BHAVNAGAR,1997,Kharif     ,Arhar/Tur,2300,1700,79.67715,44.21811,12.91205,5.162807,29.88884,,,,
Gujarat,BHAVNAGAR,1998,Kharif     ,Arhar/Tur,2000,1900,83.79987,78.75944,17.60254,5.370087,27.88643,,,,
Gujarat,BHAVNAGAR,1999,Kharif     ,Arhar/Tur,2000,1700,95.71901,81.01777,20.10339,3.870337,35.16244,,,,
Gujarat,BHAVNAGAR,2000,Kharif     ,Arhar/Tur,2000,700,97.01912,44.28537,16.20176,5.368359,30.75826,,,,
Gujarat,BHAVNAGAR,2001,Kharif     ,Arhar/Tur,1600,1000,92.82161,43.80608,15.65919,5.3648,32.2597,,,,
Gujarat,BHAVNAGAR,2002,Kharif     ,Arhar/Tur,1200,700,79.5988,54.81303,16.47123,4.226625,26.4069,,,,
Gujarat,BHAVNAGAR,2003,Kharif     ,Arhar/Tur,700,600,93.69858,72.96891,17.7659,4.632668,28.24986,,,,
Gujarat,BHAVNAGAR,2004,Kharif     ,Arhar/Tur,700,700,71.75028,79.08445,17.73416,5.375408,37.41324,,,,
Gujarat,BHAVNAGAR,2005,Kharif     ,Arhar/Tur,400,400,94.64634,71.38754,15.34512,4.976591,32.5323,,,,
Gujarat,BHAVNAGAR,2006,Kharif     ,Arhar/Tur,500,400,86.00613,48.25993,12.73335,6.01474,31.1837,,,,
Gujarat,BHAVNAGAR,2007,Kharif     ,Arhar/Tur,500,500,83.28934,56.53959,15.20308,4.750379,24.15866,,,,
Gujarat,BHAVNAGAR,2008,Kharif     ,Arhar/Tur,900,800,80.75992,55.27301,11.91174,4.595489,24.03975,,,,
Gujarat,BHAVNAGAR,2009,Kharif     ,Arhar/Tur,600,500,95.3233,53.11588,13.40193,4.980513,18.24109,,,,
Gujarat,BHAVNAGAR,2010,Kharif     ,Arhar/Tur,700,700,90.3269,59.7331,16.94563,4.720337,31.34479,,,,
Gujarat,BHAVNAGAR,2011,Kharif     ,Arhar/Tur,600,600,101.0097,65.89742,14.97925,5.137438,17.19091,,,,
Gujarat,BHAVNAGAR,2012,Kharif     ,Arhar/Tur,500,500,94.77683,44.20412,15.34858,5.570243,21.6692,,,,
Gujarat,DANG,1997,Kharif     ,Arhar/Tur,3200,2400,86.41969,43.73989,15.84762,4.54778,31.07036,,,,
Gujarat,DANG,1998,Kharif     ,Arhar/Tur,4100,3900,89.90196,52.36331,16.85651,4.713911,30.38678,,,,
Gujarat,DANG,1999,Kharif     ,Arhar/Tur,4200,3400,100.1951,35.89114,12.19012,4.796552,31.41634,,,,
Gujarat,DANG,2000,Kharif     ,Arhar/Tur,3200,1100,74.96819,49.64711,10.70465,4.767427,20.2538,,,,
Gujarat,DANG,2001,Kharif     ,Arhar/Tur,3100,1900,78.9699,61.92573,8.419006,4.910961,23.89403,,,,
Gujarat,DANG,2002,Kharif     ,Arhar/Tur,3300,2100,77.22016,69.79989,12.29454,5.38424,25.34341,,,,
Gujarat,DANG,2003,Kharif     ,Arhar/Tur,4100,3600,90.21755,68.55936,13.89488,6.100267,22.20112,,,,
Gujarat,DANG,2004,Kharif     ,Arhar/Tur,2100,2000,89.64417,59.10473,14.54176,4.604652,33.11544,,,,
Gujarat,DANG,2005,Kharif     ,Arhar/Tur,4200,4200,85.83449,58.61637,14.64678,5.9083,23.16181,,,,
Gujarat,DANG,2006,Kharif     ,Arhar/Tur,4100,3400,64.01537,63.54068,14.18188,6.848198,38.43157,,,,
Gujarat,DANG,2007,Kharif     ,Arhar/Tur,4000,4400,76.48836,54.577,8.83266,5.338247,15.81944,,,,
Gujarat,DANG,2008,Kharif     ,Arhar/Tur,4000,4200,95.45027,68.47594,17.24323,4.999317,21.2316,,,,
Gujarat,DANG,2009,Kharif     ,Arhar/Tur,3700,3200,67.45322,47.98178,16.21012,5.515449,30.17105,,,,
Gujarat,DANG,2010,Kharif     ,Arhar/Tur,2900,1200,88.24202,68.5232,15.43072,3.382425,18.91791,,,,
Gujarat,DANG,2011,Kharif     ,Arhar/Tur,2900,3100,85.00292,56.21605,16.06839,4.722259,22.82397,,,,
Gujarat,DANG,2012,Kharif     ,Arhar/Tur,1900,1800,78.73429,51.50588,13.66308,6.579307,27.02595,,,,
Gujarat,DOHAD,2003,Kharif     ,Arhar/Tur,13500,15400,77.28008,67.06308,15.88536,6.226868,37.66942,,,,
Gujarat,DOHAD,2004,Kharif     ,Arhar/Tur,17600,23000,60.98496,54.75974,10.55782,4.803107,26.35554,,,,
Gujarat,DOHAD,2005,Kharif     ,Arhar/Tur,17700,22400,79.71224,44.50442,15.81087,7.121365,28.57809,,,,
Gujarat,DOHAD,2006,Kharif     ,Arhar/Tur,16200,17700,92.18223,52.54304,16.92642,4.036992,34.66396,,,,
Gujarat,DOHAD,2007,Kharif     ,Arhar/Tur,15400,21500,69.29276,52.58656,13.79313,4.212491,29.61045,,,,
Gujarat,DOHAD,2008,Kharif     ,Arhar/Tur,11800,13400,87.99975,82.46634,18.24773,4.128057,27.32054,,,,
Gujarat,DOHAD,2009,Kharif     ,Arhar/Tur,14200,13100,100.6587,31.71008,12.3401,4.186097,26.05908,,,,
Gujarat,DOHAD,2010,Kharif     ,Arhar/Tur,13800,16900,71.89832,64.50034,16.80237,3.84033,29.6515,,,,
Gujarat,DOHAD,2011,Kharif     ,Arhar/Tur,13300,20100,91.11897,61.50681,11.69522,5.050215,25.58609,,,,
Gujarat,DOHAD,2012,Kharif     ,Arhar/Tur,13100,18900,81.15901,56.44338,12.34792,5.164719,28.68924,,,,
Gujarat,GANDHINAGAR,1997,Kharif     ,Arhar/Tur,200,200,102.7257,48.03282,14.164,4.013551,33.02179,,,,
Gujarat,GANDHINAGAR,1998,Kharif     ,Arhar/Tur,200,200,96.45131,77.52715,8.528158,4.193009,35.33111,,,,
Gujarat,GANDHINAGAR,1999,Kharif     ,Arhar/Tur,500,400,75.96977,71.28799,12.06204,4.282474,25.16771,,,,
Gujarat,GANDHINAGAR,2000,Kharif     ,Arhar/Tur,400,100,114.0899,56.96854,10.57235,5.05956,26.17379,,,,
Gujarat,GANDHINAGAR,2001,Kharif     ,Arhar/Tur,500,300,97.34398,69.23749,12.07581,5.342362,23.49849,,,,
Gujarat,GANDHINAGAR,2002,Kharif     ,Arhar/Tur,400,300,73.75756,65.95351,12.19393,3.314465,36.56161,,,,
Gujarat,GANDHINAGAR,2003,Kharif     ,Arhar/Tur,900,800,102.4182,42.48774,16.404,3.726001,22.05002,,,,
Gujarat,GANDHINAGAR,2004,Kharif     ,Arhar/Tur,1200,1100,71.82487,62.7813,17.39291,6.062242,22.42795,,,,
Gujarat,GANDHINAGAR,2005,Kharif     ,Arhar/Tur,1100,1000,117.6175,55.22244,19.88217,4.335634,34.42732,,,,
Gujarat,GANDHINAGAR,2006,Kharif     ,Arhar/Tur,1000,900,99.11613,60.45694,15.34241,4.324276,28.14556,,,,
Gujarat,GANDHINAGAR,2007,Kharif     ,Arhar/Tur,600,700,106.4128,66.64448,12.2744,2.938848,30.25029,,,,
Gujarat,GANDHINAGAR,2008,Kharif     ,Arhar/Tur,300,300,58.46377,61.14834,13.45401,4.67391,27.76561,,,,
Gujarat,GANDHINAGAR,2009,Kharif     ,Arhar/Tur,400,300,74.69468,54.49432,12.92341,4.638737,29.92653,,,,
Gujarat,GANDHINAGAR,2010,Kharif     ,Arhar/Tur,500,500,80.95204,62.29755,12.45558,3.36968,26.47022,,,,
Gujarat,GANDHINAGAR,2011,Kharif     ,Arhar/Tur,400,500,90.27753,66.12015,14.1941,4.290276,23.87694,,,,
Gujarat,GANDHINAGAR,2012,Kharif     ,Arhar/Tur,300,300,89.54849,50.48578,18.37691,4.891373,22.17933,,,,
Gujarat,JAMNAGAR,1997,Kharif     ,Arhar/Tur,6300,4700,77.3582,71.93301,12.84897,6.056507,33.566,,,,
Gujarat,JAMNAGAR,1998,Kharif     ,Arhar/Tur,6900,6500,113.4064,51.78815,13.20456,4.661358,32.19919,,,,
Gujarat,JAMNAGAR,1999,Kharif     ,Arhar/Tur,5000,4100,92.82814,78.17417,14.94805,4.70903,19.09753,,,,
Gujarat,JAMNAGAR,2000,Kharif     ,Arhar/Tur,6100,2100,89.66067,46.5935,8.76899,5.439031,24.74138,,,,
Gujarat,JAMNAGAR,2001,Kharif     ,Arhar/Tur,4300,2700,90.70424,63.61372,11.86874,6.066489,29.0926,,,,
Gujarat,JAMNAGAR,2002,Kharif     ,Arhar/Tur,2800,2800,87.42592,62.87941,13.97947,3.604923,34.67614,,,,
Gujarat,JAMNAGAR,2003,Kharif     ,Arhar/Tur,2000,1700,106.8183,50.39293,6.317603,7.143298,30.08636,,,,
Gujarat,JAMNAGAR,2004,Kharif     ,Arhar/Tur,2300,2100,98.33284,35.677,12.0716,5.345717,18.01452,,,,
Gujarat,JAMNAGAR,2005,Kharif     ,Arhar/Tur,1300,1300,88.90048,58.45032,15.11643,4.47108,24.89683,,,,
Gujarat,JAMNAGAR,2006,Kharif     ,Arhar/Tur,1100,1000,105.3459,41.92157,13.32065,4.873016,37.02454,,,,
Gujarat,JAMNAGAR,2007,Kharif     ,Arhar/Tur,1100,1300,82.45401,67.52486,9.693588,5.289102,17.36235,,,,
Gujarat,JAMNAGAR,2008,Kharif     ,Arhar/Tur,200,200,90.1026,59.15043,15.37882,4.291792,23.29812,,,,
Gujarat,JAMNAGAR,2009,Kharif     ,Arhar/Tur,600,500,75.3129,64.33903,13.8388,4.137028,31.73028,,,,
Gujarat,JAMNAGAR,2010,Kharif     ,Arhar/Tur,300,300,87.62224,69.38329,18.026,4.818509,22.07966,,,,
Gujarat,JAMNAGAR,2011,Kharif     ,Arhar/Tur,400,400,86.7048,52.43202,11.11059,5.000441,25.3839,,,,
Gujarat,JAMNAGAR,2012,Kharif     ,Arhar/Tur,400,400,69.87184,87.43525,18.42361,3.299119,28.71039,,,,
Gujarat,JUNAGADH,1997,Kharif     ,Arhar/Tur,3100,2300,94.48639,71.94441,13.11844,5.859121,25.60335,,,,
Gujarat,JUNAGADH,1998,Kharif     ,Arhar/Tur,3300,3200,81.2705,59.42256,12.96654,6.282214,29.8843,,,,
Gujarat,JUNAGADH,1999,Kharif     ,Arhar/Tur,4300,3500,78.96335,47.28072,21.28632,4.213448,25.77573,,,,
Gujarat,JUNAGADH,2000,Kharif     ,Arhar/Tur,5200,1700,73.85443,70.30487,15.69263,5.105061,37.84518,,,,
Gujarat,JUNAGADH,2001,Kharif     ,Arhar/Tur,4700,2900,81.90778,45.15005,14.47958,4.284696,24.25992,,,,
Gujarat,JUNAGADH,2002,Kharif     ,Arhar/Tur,2600,1600,80.6886,72.06822,16.4948,4.409764,27.14534,,,,
Gujarat,JUNAGADH,2003,Kharif     ,Arhar/Tur,2300,2000,76.67047,45.6241,8.843992,4.337103,37.51971,,,,
Gujarat,JUNAGADH,2004,Kharif     ,Arhar/Tur,1800,1700,102.4377,68.05495,12.45752,6.081676,29.78163,,,,
Gujarat,JUNAGADH,2005,Kharif     ,Arhar/Tur,2100,2100,99.06126,54.56985,12.93088,4.724657,27.77333,,,,
Gujarat,JUNAGADH,2006,Kharif     ,Arhar/Tur,2100,1800,107.0131,67.02658,16.09085,5.701828,28.75369,,,,
Gujarat,JUNAGADH,2007,Kharif     ,Arhar/Tur,1400,1600,82.3296,65.62361,11.35864,6.407593,26.39178,,,,
Gujarat,JUNAGADH,2008,Kharif     ,Arhar/Tur,800,800,70.38488,45.28779,16.8927,4.382555,23.46695,,,,
Gujarat,JUNAGADH,2009,Kharif     ,Arhar/Tur,1000,900,85.48344,64.21245,16.355,5.415803,17.6818,,,,
Gujarat,JUNAGADH,2010,Kharif     ,Arhar/Tur,1500,1500,79.13708,42.83019,14.58269,4.782948,29.85186,,,,
Gujarat,JUNAGADH,2011,Kharif     ,Arhar/Tur,900,900,73.37145,87.67268,12.31065,3.121313,24.39636,,,,
Gujarat,JUNAGADH,2012,Kharif     ,Arhar/Tur,500,600,81.57913,46.62946,16.94609,3.05081,33.82114,,,,
Gujarat,KACHCHH,1997,Kharif     ,Arhar/Tur,300,200,86.13055,53.94344,11.8442,6.29357,19.59465,,,,
Gujarat,KACHCHH,2002,Kharif     ,Arhar/Tur,100,,86.66772,44.29611,13.44544,5.271229,33.86614,,,,
Gujarat,KACHCHH,2010,Kharif     ,Arhar/Tur,100,100,73.94927,59.86942,19.59984,6.573976,26.73447,,,,
Gujarat,KHEDA,1997,Kharif     ,Arhar/Tur,14400,10400,94.46562,55.54621,18.39141,4.017438,27.84188,,,,
Gujarat,KHEDA,1998,Kharif     ,Arhar/Tur,12200,19600,81.96346,68.7757,17.06509,5.086275,28.28054,,,,
Gujarat,KHEDA,1999,Kharif     ,Arhar/Tur,13500,9300,94.20932,56.24149,11.93105,5.711544,33.24127,,,,
Gujarat,KHEDA,2000,Kharif     ,Arhar/Tur,10700,4000,55.66658,72.1102,11.08178,3.593483,25.97569,,,,
Gujarat,KHEDA,2001,Kharif     ,Arhar/Tur,9700,8900,94.3373,73.76987,13.02185,4.69868,22.85001,,,,
Gujarat,KHEDA,2002,Kharif     ,Arhar/Tur,12000,12500,81.39441,46.15882,16.73192,5.285709,25.51571,,,,
Gujarat,KHEDA,2003,Kharif     ,Arhar/Tur,10000,12600,69.92383,70.08406,10.49787,5.823128,30.87119,,,,
Gujarat,KHEDA,2004,Kharif     ,Arhar/Tur,7600,10600,73.59453,69.81138,15.79719,5.46874,28.33758,,,,
Gujarat,KHEDA,2005,Kharif     ,Arhar/Tur,6100,7700,85.43182,64.2536,15.40158,6.26768,28.35591,,,,
Gujarat,KHEDA,2006,Kharif     ,Arhar/Tur,4000,3400,80.78066,42.936,13.15309,4.228266,27.19363,,,,
Gujarat,KHEDA,2007,Kharif     ,Arhar/Tur,3900,3600,106.5968,70.17629,13.89207,4.870256,30.39185,,,,
Gujarat,KHEDA,2008,Kharif     ,Arhar/Tur,2200,2100,78.26504,48.6674,14.73478,5.754018,21.73684,,,,
Gujarat,KHEDA,2009,Kharif     ,Arhar/Tur,2500,1200,82.65512,71.68672,16.21432,5.643231,28.86673,,,,
Gujarat,KHEDA,2010,Kharif     ,Arhar/Tur,3400,2800,82.55299,76.02611,13.46871,3.971914,29.51517,,,,
Gujarat,KHEDA,2011,Kharif     ,Arhar/Tur,2400,2900,91.08445,46.09131,13.46453,4.90328,32.25075,,,,
Gujarat,KHEDA,2012,Kharif     ,Arhar/Tur,2000,2100,104.3058,61.10282,8.398487,5.091893,26.7563,,,,
Gujarat,MAHESANA,1997,Kharif     ,Arhar/Tur,1800,1400,86.31452,55.18429,14.46346,3.888983,27.40199,,,,
Gujarat,MAHESANA,1998,Kharif     ,Arhar/Tur,1900,1800,92.86321,42.17247,16.85058,4.211099,31.97781,,,,
Gujarat,MAHESANA,1999,Kharif     ,Arhar/Tur,1900,1500,99.83706,62.64965,14.85392,4.993398,26.73253,,,,
Gujarat,MAHESANA,2000,Kharif     ,Arhar/Tur,2000,700,89.48473,56.16576,6.527532,4.813551,21.27792,,,,
Gujarat,MAHESANA,2001,Kharif     ,Arhar/Tur,2800,1700,97.78243,69.8613,11.35659,2.647304,26.15878,,,,
Gujarat,MAHESANA,2002,Kharif     ,Arhar/Tur,2400,1500,61.45294,42.45902,15.35203,5.448882,24.46422,,,,
Gujarat,MAHESANA,2003,Kharif     ,Arhar/Tur,500,400,107.5843,58.03318,14.56043,5.228222,29.95388,,,,
Gujarat,MAHESANA,2004,Kharif     ,Arhar/Tur,800,700,89.37489,62.1961,9.555611,5.108965,26.16313,,,,
Gujarat,MAHESANA,2005,Kharif     ,Arhar/Tur,900,1000,82.219,65.08427,8.675608,5.743891,24.47716,,,,
Gujarat,MAHESANA,2006,Kharif     ,Arhar/Tur,900,800,74.82779,53.82277,10.9697,3.505326,32.18093,,,,
Gujarat,MAHESANA,2007,Kharif     ,Arhar/Tur,1400,1500,82.10751,66.29945,13.96055,6.067546,30.17912,,,,
Gujarat,MAHESANA,2008,Kharif     ,Arhar/Tur,500,500,85.51643,66.28525,17.72646,5.335657,29.77085,,,,
Gujarat,MAHESANA,2009,Kharif     ,Arhar/Tur,100,100,80.59523,60.87511,16.1043,4.400773,30.41593,,,,
Gujarat,MAHESANA,2010,Kharif     ,Arhar/Tur,200,200,100.6741,44.59257,15.15949,4.682717,21.26561,,,,
Gujarat,MAHESANA,2011,Kharif     ,Arhar/Tur,100,100,82.5315,57.40413,16.01991,5.56031,33.83942,,,,
Gujarat,MAHESANA,2012,Kharif     ,Arhar/Tur,100,100,78.60602,34.67295,8.667983,5.690222,29.25269,,,,
Gujarat,NARMADA,2003,Kharif     ,Arhar/Tur,23400,22600,100.88,71.91734,11.97564,4.564012,22.25188,,,,
Gujarat,NARMADA,2004,Kharif     ,Arhar/Tur,16200,16000,98.09163,64.22639,17.26328,5.866112,21.51001,,,,
Gujarat,NARMADA,2005,Kharif     ,Arhar/Tur,14700,14600,67.9871,60.55107,21.92284,5.959531,27.36145,,,,
Gujarat,NARMADA,2006,Kharif     ,Arhar/Tur,18000,11600,90.75293,70.34406,11.54875,7.200947,31.47634,,,,
Gujarat,NARMADA,2007,Kharif     ,Arhar/Tur,19200,21200,93.0081,61.17745,17.21156,5.388143,33.1354,,,,
Gujarat,NARMADA,2008,Kharif     ,Arhar/Tur,21200,20900,92.21263,79.51633,12.85201,5.758166,33.66033,,,,
Gujarat,NARMADA,2009,Kharif     ,Arhar/Tur,18300,19500,86.8581,46.66016,14.95382,5.790846,13.39251,,,,
Gujarat,NARMADA,2010,Kharif     ,Arhar/Tur,17900,15700,62.08137,59.15207,20.52053,5.923238,23.4714,,,,
Gujarat,NARMADA,2011,Kharif     ,Arhar/Tur,23800,22100,86.84585,61.70788,21.63973,3.98403,35.10268,,,,
